Name	Start	Duration	Time Format	Type	Description
Marker 01	0:01.319	0:00.000	decimal	Cue	
Marker 02	0:02.435	0:00.000	decimal	Cue	
Marker 04	0:05.936	0:00.000	decimal	Cue	
Marker 05	0:08.434	0:00.000	decimal	Cue	
Marker 07	0:10.729	0:00.000	decimal	Cue	
Marker 09	0:16.215	0:00.000	decimal	Cue	
Marker 10	0:19.347	0:00.000	decimal	Cue	
Marker 12	0:21.462	0:00.000	decimal	Cue	
Marker 13	0:25.169	0:00.000	decimal	Cue	
Marker 15	0:27.293	0:00.000	decimal	Cue	
Marker 16	0:32.175	0:00.000	decimal	Cue	
Marker 18	0:33.970	0:00.000	decimal	Cue	
Marker 19	0:38.138	0:00.000	decimal	Cue	
Marker 21	0:40.118	0:00.000	decimal	Cue	
Marker 22	0:42.756	0:00.000	decimal	Cue	
Marker 24	0:45.292	0:00.000	decimal	Cue	
Marker 25	0:49.032	0:00.000	decimal	Cue	
Marker 27	0:51.470	0:00.000	decimal	Cue	
Marker 28	0:55.537	0:00.000	decimal	Cue	
Marker 29	0:56.803	0:00.000	decimal	Cue	
